id,question,answer
1,아일랜드식 단체 경기를 고르면?,게일릭풋볼
2,트리플 크라운`이라는 용어는 원래 미국의 어느 스포츠 경기에서 유래하였을까요?,경마
3,마스터스 토너먼트`는 어느 스포츠 종목에서 4대 메이저 대회로 손꼽히는 대회일까요?,골프
4,매직 존슨`은 어떤 스포츠 분야에서 유명한 인물일까요?,농구
5,트랙과 필드에서 이루어지는 육상경기의 대표 종목은?,달리기
6,고무보트를 타고 계곡의 급류를 헤쳐나가는 레포츠의 이름은?,래프팅
7,다음중 줄·후프·공·곤봉·리본 등의 기구를 사용하는 스포츠는?,리듬체조
8,각 팀의 선수가 자기 팀의 다른 선수와 교체지역 안에서 배턴을 주고 받으며 달리는 경기는?,릴레이경기
9,태국의 전통 무술은?,무에타이
10,다음 중 `쿼터백`이라는 포지션이 있는 스포츠는?,미식축구
11,네트를 중앙에 두고 라켓으로 셔틀콕(깃털공)을 쳐서 네트를 넘기는 경기의 이름은?,배드민턴
12,탄력이 좋은 로프에 몸을 묶고 높은 곳에서 뛰어내리는 모험 스포츠의 이름은?,번지점프
13,다음 중 마우스피스를 반드시 착용해야 하는 스포츠는?,복싱
14,경기 전 몸무게를 재야하는 스포츠는?,복싱
15,"미국의 영화배우 겸 감독 클린트 이스트우드가 감독 주연 제작한 영화""밀리언달러베이비""의 이야기의 중심이 되는 스포츠는?",복싱
16,볼을 굴려 목표지점에 놓여있는 핀을 쓰러뜨리는 스포츠는?,볼링
17,지로 디탈리아`는 어떤 종목의 스포츠 대회일까요?,사이클
18,옴니엄(Omnium)이란 어떤 종목의 스포츠일까요?,사이클
19,볼더링`은 어떤 스포츠 경기의 세부 종목일까요?,스포츠클라이밍
20,"블루라인, 페이스오프, 아이싱은 모두 어떤 스포츠와 관련된 경기 규칙일까요?",아이스하키
21,필라델피아 플라이어스`는 어떤 종목의 프로 스포츠팀일까요?,아이스하키
22,음악에 맞추어 여러 명의 선수가 수면 위에서 동작을 연기하는 수중 경기 종목의 이름은?,아티스틱스위밍
23,베이브 루스`는 어느 스포츠 종목에서 가장 인기가 많았던 프로 선수였을까요?,야구
24,두 팀이 방망이와 공을 사용하여 겨루는 구기 종목은?,야구
25,"경쾌한 음악에 맞추어 갖가지 동작을 하면서심장, 폐의 기능을 활발하게 하여 산소를 많이 들이마시게 하는 춤은?",에어로빅
26,"인상, 용상은 어느 스포츠의 종목일까요?",역도
27,"다음 중 모터보트가 만들어 내는 파도를 이용해 점프, 회전 등의다양한 기술을 구사하는 수상 스포츠는 어느 것인가?",웨이크보드
28,"""포뮬러원""은 무엇일까요?",자동차경주대회
29,532년 비잔틴제국의 수도 콘스탄티노플에서 이 경기가 열린 경기장에서반란이 일어나 약 3만 명의 군중이 학살당했다. 어떤 경기였을까요?,전차경주
30,이소룡이 창시한 무술의 이름은 무엇일까요?,절권도
31,많은 사람이 두 편으로 나뉘어 줄을 마주 잡아당겨 승부를 겨루는 놀이는?,줄다리기
32,다음 중 `루이 로페즈`와 가장 관련이 깊은 게임은?,체스
33,"2002년 개봉된 영국 영화 ""슈팅라이크베컴""에서 이야기의 중심이 되는 스포츠는?",축구
34,브라질에서 가장 인기 있는 스포츠는 무엇일까요?,축구
35,미하엘 슈마허는 무엇으로 유명한 인물인가?,카레이싱
36,다음 중 숨을 멈춘 상태에서 경기를 해야하는 스포츠는?,카바디
37,해리포터에 등장하는 가상 스포츠의 이름은?,퀴디치
38,경기장 가운데 위치한 직사각형의 피치에서 공을 던지는 `볼러`와공을 치는 `배트맨`이 대결하는 방식으로 치러지는 스포츠는?,크리켓
39,인도에서 가장 인기 있는 스포츠는 무엇일까요?,크리켓
40,원래 이름이 `핑퐁`이었던 스포츠는?,탁구
41,대한민국의 현정화 선수는 어떤 스포츠의 금메달리스트일까요?,탁구
42,1970년대 초 미국과 중국의 수교를 튼 스포츠는?,탁구
43,안나 쿠르니코바는 무엇으로 유명한 사람인가?,테니스
44,마리아 샤라포바는 어느 스포츠 분야의 유명 선수인가?,테니스
45,다음 중 서커스 묘기에서 유래된 스포츠는?,트램펄린
46,"스쿼트, 벤치 프레스, 데드 리프트의 세 종목을 겨루는 시합은?",파워리프팅
47,다음 중 특수 고안된 낙하산을 멘 사람을 자동차나 모터보트에 연결해 떠오르게 하여공중비행을 즐길 수 있게 한 레저 스포츠는?,패러세일링
48,에페(Epee)`를 사용하는 스포츠는?,펜싱
49,다음 중 `큐`라는 막대기로 공을 쳐서 점수를 겨루는 스포츠는?,포켓볼
50,다음 중 말을 타고 스틱을 이용해 득점을 올리는 구기 스포츠는?,폴로
51,비엘만 스핀`은 어떤 스포츠 종목의 스핀 기술 중 하나일까요?,피겨스케이팅
52,3면이 벽으로 둘러싸인 경기장에서 작은 볼을 교대로 치며 겨루는 경기는?,하이알라이
